bid,bname,prog_lang,x,x1,x2,x4
1698,MongoDB Cookbook,,,,,
1699,Learning Neo4j 3.x - Second Edition,,,,,
1700,Oracle Coherence 3.5,,,,,
1701,Oracle Database XE 11gR2 Jump Start Guide,,,,,
1702,Oracle 11g Streams Implementer's Guide,,,,,
1703,EJB 3.0 Database Persistence with Oracle Fusion Middleware 11g: LITE,,,,,
1704,Oracle SOA Suite 11g Developer's Cookbook,,,,,
1705,Getting Started with OrientDB,,,,,
1706,Elasticsearch 7.0 Cookbook - Fourth Edition,,,,,
1707,Advanced Elasticsearch 7.0,,,,,
1708,ElasticSearch Cookbook,,,,,
1709,ElasticSearch Cookbook - Second Edition,,,,,
1710,Elasticsearch Essentials,,,,,
1711,Elasticsearch Server - Third Edition,,,,,
1712,ElasticSearch Server,,,,,
1713,Mastering Elasticsearch 5.x - Third Edition,,,,,
1714,Elasticsearch for Hadoop,,,,,
1715,Mastering Elasticsearch - Second Edition,,,,,
1716,Elasticsearch Server: Second Edition,,,,,
1717,Hibernate Search by Example,,,,,
1718,Lucene 4 Cookbook,,,,,
1719,Mastering Apache Solr 7.x,,,,,
1720,Solr Cookbook - Third Edition,,,,,
1721,Apache Solr Search Patterns,,,,,
1722,Apache Solr Enterprise Search Server - Third Edition,,,,,
1723,Apache Solr Beginner�s Guide,,,,,
1724,Apache Solr 3.1 Cookbook,,,,,
1725,Apache Solr 4 Cookbook,,,,,
1726,Solr 1.4 Enterprise Search Server,,,,,
1727,Ext GWT 2.0: Beginner's Guide,,,,,
1728,GateIn Cookbook,,,,,
1729,Grails 1.1 Web Application Development,,,,,
1730,Google Web Toolkit 2 Application Development Cookbook,,,,,
1731,Mastering Hibernate,,,,,
1732,Play Framework Essentials,,,,,
1733,Learning Play! Framework 2,,,,,
1734,PrimeFaces Beginner's Guide,,,,,
1735,PrimeFaces Theme Development,,,,,
1736,Seam 2.x Web Development,,,,,
1737,Seam 2 Web Development: LITE,,,,,
1738,Learning Spring Boot 2.0 - Second Edition,,,,,
1739,Spring Boot Cookbook,,,,,
1740,Spring Essentials,,,,,
1741,Spring Integration Essentials,,,,,
1742,Spring Web Flow 2 Web Development,,,,,
1743,Spring MVC: Designing Real-World Web Applications,,,,,
1744,Building Microservices with Micronaut®,,,,,
1745,Java EE 8 Microservices,,,,,
1746,Hands-On Microservices - Monitoring and Testing,,,,,
1747,Hands-On Enterprise Java Microservices with Eclipse MicroProfile,,,,,
1748,Mastering Microservices with Java 9 - Second Edition,,,,,
1749,Spring: Microservices with Spring Boot,,,,,
1750,Hands-On Microservices with Spring Boot and Spring Cloud,,,,,
1751,Microservices Deployment Cookbook,,,,,
1752,Building Microservices with Spring,,,,,
1753,Spring 5.0 Microservices - Second Edition,,,,,
1754,Spring Microservices,,,,,
1755,Practical Microservices,,,,,
1756,Getting Started with Hazelcast - Second Edition,,,,,
1757,Java Programming for Beginners,,,,,
1758,Java 7 New Features Cookbook,,,,,
1759,Mastering Microservices with Java - Third Edition,,,,,
1760,CakePHP Application Development,,,,,
1761,FuelPHP Application Development Blueprints,,,,,
1762,Laravel Application Development Blueprints,,,,,
1763,Yii Application Development Cookbook - Second Edition,,,,,
1764,Zend Framework 2 Application Development,,,,,
1765,Alfresco Developer Guide,,,,,
1766,CMS Made Simple 1.6: Beginner's Guide,,,,,
1767,concrete5: Beginner's Guide - Second Edition,,,,,
1768,concrete5 Cookbook,,,,,
1769,Creating Concrete5 Themes,,,,,
1770,Drupal 8 Module Development - Second Edition,,,,,
1771,Building Websites with ExpressionEngine 2,,,,,
1772,Joomla! 3 Beginner's Guide Second Edition,,,,,
1773,Joomla! 3 Template Essentials,,,,,
1774,Joomla! 1.5 Multimedia,,,,,
1775,Joomla! 1.5 Top Extensions Cookbook,,,,,
1776,Mastering Joomla! 1.5 Extension and Framework Development Second Edition,,,,,
1777,Learning Joomla! 3 Extension Development-Third Edition,,,,,
1778,Joomla! 1.5 Development Cookbook,,,,,
1779,Joomla! Accessibility,,,,,
1780,ChronoForms 3.1 for Joomla! site Cookbook,,,,,
1781,Joomla! 1.5 Template Design,,,,,
1782,Joomla! VirtueMart 1.1 Theme and Template Design,,,,,
1783,Joomla! 1.5 Development Cookbook: LITE,,,,,
1784,Joomla! 1.5 Site Blueprints: LITE,,,,,
1785,Joomla! 1.6 First Look,,,,,
1786,Joomla! 1.5 Cookbook,,,,,
1787,Joomla! 1.5 JavaScript jQuery,,,,,
1788,Joomla! 1.5: Beginner's Guide,,,,,
1789,Joomla! 1.5 Content Administration,,,,,
1790,Joomla! 1.5 SEO,,,,,
1791,Joomla! 1.5x Customization: Make Your Site Adapt to Your Needs,,,,,
1792,Joomla! E-Commerce with VirtueMart,,,,,
1793,Learning Joomla! 1.5 Extension Development,,,,,
1794,Building Websites with Joomla! 1.5,,,,,
1795,Mastering Joomla! 1.5 Extension and Framework Development,,,,,
1796,MediaWiki 1.1 Beginner's Guide,,,,,
1797,MediaWiki Skins Design,,,,,
1798,PHP 5 CMS Framework Development - 2nd Edition,,,,,
1799,"Mastering TypoScript: TYPO3 Website, Template, and Extension Development",,,,,
1800,TYPO3 4.3 Multimedia Cookbook,,,,,
1801,TYPO3: Enterprise Content Management,,,,,
1802,WordPress 5 Complete - Seventh Edition,,,,,
1803,WordPress Plugin Development Cookbook - Second Edition,,,,,
1804,Learn to Create WordPress Themes by Building 5 Projects,,,,,
1805,Wordpress Web Application Development - Third Edition,,,,,
1806,Learning WordPress REST API,,,,,
1807,WordPress 4.x Complete,,,,,
1808,WordPress Complete - Sixth Edition,,,,,
1809,WordPress 2.7 Cookbook,,,,,
1810,WordPress Web Application Development - Second Edition,,,,,
1811,WordPress 2.9 E-Commerce,,,,,
1812,WordPress 3.0 jQuery,,,,,
1813,WordPress 3 Ultimate Security,,,,,
1814,WordPress 2.7 Complete,,,,,
1815,WordPress Mobile Applications with PhoneGap,,,,,
1816,WordPress Mobile Web Development: Beginner's Guide,,,,,
1817,Wordpress and Flash 10x Cookbook,,,,,
1818,WordPress 3 Site Blueprints,,,,,
1819,WordPress 2.8 Theme Design,,,,,
1820,WordPress Complete,,,,,
1821,WordPress 3 For Business Bloggers,,,,,
1822,WordPress for Business Bloggers,,,,,
1823,"Social Media for Wordpress: Build Communities, Engage Members and Promote Your Site",,,,,
1824,WordPress Theme Design,,,,,
1825,WordPress Top Plugins,,,,,
1826,CiviCRM Cookbook,,,,,
1827,Using CiviCRM - Second Edition,,,,,
1828,Using CiviCRM,,,,,
1829,SugarCRM Developer's Manual: Customize and extend SugarCRM,,,,,
1830,Mastering Drupal 8,,,,,
1831,Drupal 8 Development Cookbook - Second Edition,,,,,
1832,Drupal 8 Blueprints,,,,,
1833,Drupal 8 Configuration Management,,,,,
1834,Learning Drupal 8,,,,,
1835,Drupal 8 Module Development,,,,,
1836,Drush for Developers - Second Edition,,,,,
1837,Drupal 8 Development: Beginner's Guide - Second Edition,,,,,
1838,Drupal 7 Multilingual Sites,,,,,
1839,Drupal 7 Business Solutions,,,,,
1840,Migrating to Drupal 7,,,,,
1841,Drupal 7 Module Development,,,,,
1842,Drupal 7 Media,,,,,
1843,Drupal 7 Webform Cookbook,,,,,
1844,Drupal Intranets with Open Atrium,,,,,
1845,Drupal 6 Theming Cookbook,,,,,
1846,Drupal Web Services,,,,,
1847,Drupal 7 Development by Example Beginner's Guide,,,,,
1848,Drupal 7,,,,,
1849,Drupal 6 Themes,,,,,
1850,"Drupal: Creating Blogs, Forums, Portals, and Community Websites",,,,,
1851,Drupal for Education and E-Learning - Second Edition,,,,,
1852,Drupal 7 Views Cookbook,,,,,
1853,Building E-commerce Sites with Drupal Commerce Cookbook,,,,,
1854,Magento 2 Development Quick Start Guide,,,,,
1855,Magento 2 Developer's Guide,,,,,
1856,Magento 2 Theme Design - Second Edition,,,,,
1857,Magento 2 Beginners Guide,,,,,
1858,Learning Magento 2 Administration,,,,,
1859,Magento 2 Development Cookbook,,,,,
1860,Mastering Magento 2 - Second Edition,,,,,
1861,Mastering Magento,,,,,
1862,Magento Extensions Development,,,,,
1863,Magento 2 Development Essentials,,,,,
1864,Magento 2 Cookbook,,,,,
1865,Magento PHP Developer's Guide - Second Edition,,,,,
1866,Magento 2 - Build World-Class online stores,,,,,
1867,Magento PHP Developer�s Guide,,,,,
1868,Learning Magento Theme Development,,,,,
1869,Magento 1.8 Development Cookbook,,,,,
1870,Magento : Beginner's Guide - Second Edition,,,,,
1871,Instant Magento Performance Optimization How-to,,,,,
1872,Magento Mobile How-to,,,,,
1873,Magento 1.4 Themes Design,,,,,
1874,Magento 1.3 Sales Tactics Cookbook,,,,,
1875,Magento 1.3: PHP Developer's Guide,,,,,
1876,Getting Started with OpenCart Module Development,,,,,
1877,Instant E-commerce with OpenCart: Build a Shop,,,,,
1878,Building Online Stores with osCommerce: Beginner Edition,,,,,
1879,Building Online Stores with osCommerce: Professional Edition,,,,,
1880,Deep Inside osCommerce: The Cookbook,,,,,
1881,PrestaShop Module Development,,,,,
1882,PrestaShop 1.3 Beginner's Guide,,,,,
1883,PrestaShop 1.3 Theming - Beginner's Guide,,,,,
1884,PrestaShop 1.5 Beginner�s Guide,,,,,
1885,WooCommerce Cookbook,,,,,
1886,AJAX and PHP: Building Responsive Web Applications,,,,,
1887,AJAX y PHP: Construyendo Aplicaciones Web Interactivas [Espanol],,,,,
1888,PHP Ajax Cookbook,,,,,
1889,CodeIgniter 2 Cookbook,,,,,
1890,CodeIgniter 1.7 Professional Development,,,,,
1891,Learning FuelPHP for Effective PHP Development,,,,,
1892,Getting Started with Laravel 4,,,,,
1893,MODx Web Development - Second Edition,,,,,
1894,MODx Web Development,,,,,
1895,Symfony 1.3 Web Application Development,,,,,
1896,Extending Symfony2 Web Application Framework,,,,,
1897,Symfony2 Essentials,,,,,
1898,Wordpress Development Quick Start Guide,,,,,
1899,WordPress Web Application Development,,,,,
1900,Agile Web Application Development with Yii1.1 and PHP5,,,,,
1901,Web Application Development with Yii and PHP,,,,,
1902,Zend Framework 2.0 by Example: Beginner's Guide,,,,,
1903,Zend Framework 2 Cookbook,,,,,
1904,Zend Framework 1.8 Web Application Development,,,,,
1905,Hands-On Full Stack Web Development with Angular 6 and Laravel 5,,,,,
1906,AJAX and PHP: Building Modern Web Applications 2nd Edition,,,,,
1907,PHP jQuery Cookbook,,,,,
1908,Moodle 3 Administration - Third Edition,,,,,
1909,Moodle 3.x Developer's Guide,,,,,
1910,Moodle 3 E-Learning Course Development - Fourth Edition,,,,,
1911,Gamification with Moodle,,,,,
1912,Moodle 1.9 Math,,,,,
1913,Moodle for Mobile Learning,,,,,
1914,Moodle Security,,,,,
1915,Moodle 2.0 First Look,,,,,
1916,Moodle 2.0 for Business Beginner's Guide,,,,,
1917,Moodle 1.9 for Teaching 7-14 Year Olds: Beginner's Guide,,,,,
1918,Moodle 1.9 Theme Design: Beginner's Guide,,,,,
1919,Moodle 2 Administration,,,,,
1920,Moodle Administration,,,,,
1921,Moodle Teaching Techniques,,,,,
1922,Moodle 2.0 Multimedia Cookbook,,,,,
1923,Science Teaching with Moodle 2.0,,,,,
1924,Moodle 2.5 Multimedia Cookbook,,,,,
1925,Moodle 2 for Teaching 4-9 Year Olds Beginner's Guide,,,,,
1926,Moodle 1.9 Multimedia,,,,,
1927,Moodle 1.9 for Design and Technology,,,,,
1928,History Teaching with Moodle 2,,,,,
1929,Moodle 1.9 Testing and Assessment,,,,,
1930,Moodle 2.5 Multimedia,,,,,
1931,Moodle 1.9 Top Extensions Cookbook,,,,,
1932,WordPress for Education,,,,,
1933,"Learning Joomla! 1.5 Extension Development: Creating Modules, Components, and Plugins with PHP",,,,,
1934,WordPress Plugin Development: Beginner's Guide,,,,,
1935,Instant Building Multi-Page Forms with Yii How-to,,,,,
1936,CakePHP 2 Application Cookbook,,,,,
1937,CodeIgniter for Rapid PHP Application Development,,,,,
1938,CodeIgniter 1.7,,,,,
1939,CouchDB and PHP Web Development Beginner's Guide,,,,,
1940,Laravel Application Development Cookbook,,,,,
1941,Laravel 5.x Cookbook,,,,,
1942,Learning Laravel 4 Application Development,,,,,
1943,Learning Laravel's Eloquent,,,,,
1944,Mastering Laravel,,,,,
1945,PHP and MongoDB Web Development Beginner's Guide,,,,,
1946,PHP Application Development with NetBeans: Beginner's Guide,,,,,
1947,"PHP Oracle Web Development: Data processing, Security, Caching, XML, Web Services, and Ajax",,,,,
1948,Phalcon Cookbook,,,,,
1949,Learning Phalcon PHP,,,,,
1950,Mastering Symfony,,,,,
1951,Yii2 Application Development Cookbook - Third Edition,,,,,
1952,Mastering Yii,,,,,
1953,PHP Reactive Programming,,,,,
1954,Persistence in PHP with Doctrine ORM,,,,,
1955,Learning PHP 7,,,,,
1956,Laravel Starter,,,,,
1957,Yii Project Blueprints,,,,,
1958,Web Application Development with Yii 2 and PHP,,,,,
1959,The Applied AI and Natural Language Processing Workshop,,,,,
1960,IBM Watson Projects,,,,,
1961,The Applied Artificial Intelligence Workshop,,,,,
1962,Hands-On Intelligent Agents with OpenAI Gym,,,,,
1963,The Artificial Intelligence Infrastructure Workshop,,,,,
1964,Artificial Intelligence for IoT Cookbook,,,,,
1965,Artificial Intelligence for Robotics,,,,,
1966,Mobile Artificial Intelligence Projects,,,,,
1967,Hands-On Genetic Algorithms with Python,,,,,
1968,Artificial Intelligence with Python - Second Edition,,,,,
1969,Hands-On Artificial Intelligence for Banking,,,,,
1970,Python Artificial Intelligence Projects for Beginners,,,,,
1971,Artificial Intelligence By Example,,,,,
1972,Artificial Intelligence and Machine Learning Fundamentals,,,,,
1973,Learn TensorFlow Enterprise,,,,,
1974,Hands-On Artificial Intelligence for Search,,,,,
1975,Hands-On Image Processing with Python,,,,,
1976,Learning OpenCV 4 Computer Vision with Python 3 - Third Edition,,,,,
1977,Raspberry Pi Computer Vision Programming - Second Edition,,,,,
1978,Mastering OpenCV 4 with Python,,,,,
1979,OpenCV 4 with Python Blueprints - Second Edition,,,,,
1980,OpenCV 3 Computer Vision with Python Cookbook,,,,,
1981,Practical Computer Vision,,,,,
1982,OpenCV with Python By Example,,,,,
1983,OpenCV 3.x with Python By Example - Second Edition,,,,,
1984,Computer Vision Projects with OpenCV and Python 3,,,,,
1985,OpenCV with Python Blueprints,,,,,
1986,OpenCV Computer Vision with Python,,,,,
1987,OpenCV Computer Vision Application Programming Cookbook Second Edition,,,,,
1988,Learning OpenCV 3 Computer Vision with Python - Second Edition,,,,,
1989,Computer Vision with Python 3,,,,,
1990,OpenCV: Computer Vision Projects with Python,,,,,
1991,Modern Computer Vision with PyTorch,,,,,
1992,Raspberry Pi Computer Vision Programming,,,,,
1993,TensorFlow 2.0 Computer Vision Cookbook,,,,,
1994,Hands-On Image Generation with TensorFlow,,,,,
1995,Hands-On Computer Vision with TensorFlow 2,,,,,
1996,Mastering Computer Vision with TensorFlow 2.x,,,,,
1997,Amazon Redshift Cookbook,,,,,
1998,Data Engineering with AWS,,,,,
1999,Practical Data Analysis - Second Edition,,,,,
2000,Scalable Data Streaming with Amazon Kinesis,,,,,
2001,Learning Jupyter 5 - Second Edition,,,,,
2002,IPython Interactive Computing and Visualization Cookbook - Second Edition,,,,,
2003,Jupyter Cookbook,,,,,
2004,Jupyter for Data Science,,,,,
2005,Learning Jupyter,,,,,
2006,Practical Data Analysis,,,,,
2007,Python Text Processing with NLTK 2.0 Cookbook,,,,,
2008,Hands-On Financial Trading with Python,,,,,
2009,Data Wrangling with Python,,,,,
2010,Hands-On Data Analysis with NumPy and Pandas,,,,,
2011,NumPy Essentials,,,,,
2012,NumPy: Beginner's Guide - Third Edition,,,,,
2013,NumPy Cookbook - Second Edition,,,,,
2014,NumPy Beginner's Guide - Second Edition,,,,,
2015,Getting Started with Python Data Analysis,,,,,
2016,Python: Data Analytics and Visualization,,,,,
2017,Python Data Science Essentials,,,,,
2018,Mastering Python Scientific Computing,,,,,
2019,Python Data Analysis - Third Edition,,,,,
2020,Practical Data Analysis using Jupyter Notebook,,,,,
2021,Beginning Data Science with Python and Jupyter,,,,,
2022,Hands-On Exploratory Data Analysis with Python,,,,,
2023,Hands-On Data Analysis with Pandas,,,,,
2024,Learning pandas - Second Edition,,,,,
2025,Pandas Cookbook,,,,,
2026,Mastering pandas for Finance,,,,,
2027,Mastering pandas,,,,,
2028,Introduction to DevOps with Kubernetes,,,,,
2029,Learning pandas,,,,,
2030,Python Data Analysis,,,,,
2031,Mastering Python Data Analysis,,,,,
2032,Practical Data Analysis Cookbook,,,,,
2033,Mastering Exploratory Analysis with pandas,,,,,
2034,Python: End-to-end Data Analysis,,,,,
2035,Become a Python Data Analyst,,,,,
2036,Python Data Analysis - Second Edition,,,,,
2037,SciPy Recipes,,,,,
2038,Scientific Computing with Python 3,,,,,
2039,Hands-On Data Science with Anaconda,,,,,
2040,Snowflake Cookbook,,,,,
2041,Building Data Science Applications with FastAPI,,,,,
2042,Data Science for Marketing Analytics - Second Edition,,,,,
2043,The Data Analysis Workshop,,,,,
2044,The Applied Data Science Workshop - Second Edition,,,,,
2045,Applied Data Science with Python and Jupyter,,,,,
2046,Data Science with Python,,,,,
2047,Data Science Projects with Python,,,,,
2048,NumPy Cookbook,,,,,
2049,Learning NumPy Array,,,,,
2050,Mastering Python for Data Science,,,,,
2051,Hands-On Generative Adversarial Networks with PyTorch 1.x,,,,,
2052,The Data Science Workshop - Second Edition,,,,,
2053,Python Data Science Essentials - Third Edition,,,,,
2054,Deep Learning for Beginners,,,,,
2055,Automated Machine Learning with AutoKeras,,,,,
2056,The Deep Learning with Keras Workshop,,,,,
2057,Machine Learning Automation with TPOT,,,,,
2058,Generative Adversarial Networks Projects,,,,,
2059,Advanced Deep Learning with Keras,,,,,
2060,Practical Convolutional Neural Networks,,,,,
2061,Deep Learning for Computer Vision,,,,,
2062,Deep Learning with Keras,,,,,
2063,Keras Deep Learning Cookbook,,,,,
2064,Codeless Deep Learning with KNIME,,,,,
2065,Deep Learning with Microsoft Cognitive Toolkit Quick Start Guide,,,,,
2066,The Computer Vision Workshop,,,,,
2067,Mastering PyTorch,,,,,
2068,Deep Learning with fastai Cookbook,,,,,
2069,The Deep Learning with PyTorch Workshop,,,,,
2070,Deep Learning with PyTorch Quick Start Guide,,,,,
2071,PyTorch Deep Learning Hands-On,,,,,
2072,Deep Learning with PyTorch,,,,,
2073,The TensorFlow Workshop,,,,,
2074,Deep Learning with TensorFlow 2 and Keras - Second Edition,,,,,
2075,Advanced Deep Learning with Python,,,,,
2076,Applied Deep Learning and Computer Vision for Self-Driving Cars,,,,,
2077,The Deep Learning Workshop,,,,,
2078,"Mobile Deep Learning with TensorFlow Lite, ML Kit and Flutter",,,,,
2079,The Applied TensorFlow and Keras Workshop,,,,,
2080,Deep Learning Quick Reference,,,,,
2081,Hands-On Python Deep Learning for the Web,,,,,
2082,Hands-On Deep Learning for IoT,,,,,
2083,Hands-On Convolutional Neural Networks with TensorFlow,,,,,
2084,Hands-On Transfer Learning with Python,,,,,
2085,Hands-On Deep Learning Architectures with Python,,,,,
2086,Python Deep Learning - Second Edition,,,,,
2087,TensorFlow Deep Learning Projects,,,,,
2088,Deep Learning with TensorFlow - Second Edition,,,,,
2089,Python Deep Learning Cookbook,,,,,
2090,Hands-On Deep Learning for Images with TensorFlow,,,,,
2091,Hands-On Deep Learning with TensorFlow,,,,,
2092,Deep Learning with TensorFlow,,,,,
2093,Deep Learning By Example,,,,,
2094,Python Deep Learning,,,,,
2095,Beginning Application Development with TensorFlow and Keras,,,,,
2096,TensorFlow 1.x Deep Learning Cookbook,,,,,
2097,Hands-On Deep Learning for Games,,,,,
2098,ArcGIS Pro 2.x Cookbook,,,,,
2099,ArcPy and ArcGIS - Second Edition,,,,,
2100,Mastering ArcGIS Enterprise Administration,,,,,
2101,Mapping with ArcGIS Pro,,,,,
2102,Spatial Analytics with ArcGIS,,,,,
2103,Programming ArcGIS with Python Cookbook - Second Edition,,,,,
2104,ArcGIS By Example,,,,,
2105,Learning ArcGIS Pro,,,,,
2106,Learning ArcGIS for Desktop,,,,,
2107,ArcGIS Blueprints,,,,,
2108,Programming ArcGIS 10.1 with Python Cookbook,,,,,
2109,ArcGIS for Desktop Cookbook,,,,,
2110,ArcPy and ArcGIS - Geospatial Analysis with Python,,,,,
2111,Matplotlib for Python Developers,,,,,
2112,Geospatial Development By Example with Python,,,,,
2113,OpenLayers 3: Beginner's Guide,,,,,
2114,Python Geospatial Development - Third Edition,,,,,
2115,Python Geospatial Development - Second Edition,,,,,
2116,Python Geospatial Development,,,,,
2117,Learning Geospatial Analysis with Python,,,,,
2118,Learning Geospatial Analysis with Python - Third Edition,,,,,
2119,Mastering Geospatial Development with QGIS 3.x - Third Edition,,,,,
2120,Learn QGIS - Fourth Edition,,,,,
2121,QGIS Python Programming Cookbook - Second Edition,,,,,
2122,QGIS Python Programming Cookbook,,,,,
2123,Practical GIS,,,,,
2124,QGIS:Becoming a GIS Power User,,,,,
2125,QGIS By Example,,,,,
2126,QGIS Blueprints,,,,,
2127,Geospatial Data Science Quick Start Guide,,,,,
2128,Python Geospatial Analysis Essentials,,,,,
2129,Python Geospatial Development Essentials,,,,,
2130,Amazon SageMaker Best Practices,,,,,
2131,Practical Machine Learning,,,,,
2132,Practical Machine Learning Cookbook,,,,,
2133,Learn Amazon SageMaker - Second Edition,,,,,
2134,Machine Learning with Amazon SageMaker Cookbook,,,,,
2135,Learn Amazon SageMaker,,,,,
2136,Effective Amazon Machine Learning,,,,,
2137,Azure Data Scientist Associate Certification Guide,,,,,
2138,AWS Certified Machine Learning Specialty: MLS-C01 Certification Guide,,,,,
2139,Automated Machine Learning,,,,,
2140,Microsoft Azure Machine Learning,,,,,
2141,Machine Learning with BigQuery ML,,,,,
2142,Agile Machine Learning with DataRobot,,,,,
2143,The Machine Learning Workshop - Second Edition,,,,,
2144,The Unsupervised Learning Workshop,,,,,
2145,The Supervised Learning Workshop - Second Edition,,,,,
2146,Hands-On Machine Learning with scikit-learn and Scientific Python Toolkits,,,,,
2147,Hands-On Recommendation Systems with Python,,,,,
2148,Feature Engineering Made Easy,,,,,
2149,Python Machine Learning Cookbook - Second Edition,,,,,
2150,Hands-On Unsupervised Learning with Python,,,,,
2151,Hands-On Ensemble Learning with Python,,,,,
2152,Mastering Probabilistic Graphical Models Using Python,,,,,
2153,Mastering Machine Learning with scikit-learn - Second Edition,,,,,
2154,scikit-learn Cookbook - Second Edition,,,,,
2155,Building Machine Learning Systems with Python - Third Edition,,,,,
2156,Machine Learning with scikit-learn Quick Start Guide,,,,,
2157,Python Machine Learning By Example,,,,,
2158,Machine Learning Solutions,,,,,
2159,Building Machine Learning Systems with Python,,,,,
2160,Test-Driven Machine Learning,,,,,
2161,Machine Learning Fundamentals,,,,,
2162,scikit-learn: Machine Learning Simplified,,,,,
2163,Machine Learning for Developers,,,,,
2164,Python Machine Learning Blueprints: Intuitive data projects you can relate to,,,,,
2165,scikit-learn Cookbook,,,,,
2166,Designing Machine Learning Systems with Python,,,,,
2167,Learning scikit-learn: Machine Learning in Python,,,,,
2168,Mastering Machine Learning with scikit-learn,,,,,
2169,Machine Learning for Algorithmic Trading - Second Edition,,,,,
2170,Python Machine Learning - Third Edition,,,,,
2171,The Machine Learning Solutions Architect Handbook,,,,,
2172,Interpretable Machine Learning with Python,,,,,
2173,Mastering Machine Learning Algorithms - Second Edition,,,,,
2174,Python Machine Learning By Example - Second Edition,,,,,
2175,Machine Learning Using TensorFlow Cookbook,,,,,
2176,Hands-On Machine Learning for Algorithmic Trading,,,,,
2177,Python Machine Learning - Second Edition,,,,,
2178,Hands-On One-shot Learning with Python,,,,,
2179,Ensemble Machine Learning Cookbook,,,,,
2180,Machine Learning Quick Reference,,,,,
2181,Intelligent Mobile Projects with TensorFlow,,,,,
2182,TensorFlow 2.0 Quick Start Guide,,,,,
2183,Machine Learning Projects for Mobile Applications,,,,,
2184,TensorFlow Machine Learning Cookbook,,,,,
2185,Mastering TensorFlow 1.x,,,,,
2186,What's New in TensorFlow 2.0,,,,,
2187,Machine Learning with TensorFlow 1.x,,,,,
2188,Building Machine Learning Projects with TensorFlow,,,,,
2189,Getting Started with TensorFlow,,,,,
2190,Natural Language Processing with AWS AI Services,,,,,
2191,Getting Started with Google BERT,,,,,
2192,fastText Quick Start Guide,,,,,
2193,The Natural Language Processing Workshop - Second Edition,,,,,
2194,Natural Language Processing Fundamentals,,,,,
2195,Hands-On Natural Language Processing with Python,,,,,
2196,Natural Language Processing: Python and NLTK,,,,,
2197,NLTK Essentials,,,,,
2198,Python Text Processing with NLTK 2.0 Cookbook: LITE,,,,,
2199,Exploring GPT-3,,,,,
2200,Natural Language Processing with Python Quick Start Guide,,,,,
2201,Mastering spaCy,,,,,
2202,Natural Language Processing and Computational Linguistics,,,,,
2203,Python Natural Language Processing Cookbook,,,,,
2204,Hands-On Python Natural Language Processing,,,,,
2205,Natural Language Processing with TensorFlow,,,,,
2206,Secret Recipes of the Python Ninja,,,,,
2207,MicroPython Cookbook,,,,,
2208,Advanced Deep Learning with TensorFlow 2 and Keras - Second Edition,,,,,
2209,Artificial Intelligence By Example - Second Edition,,,,,
2210,Python Programming for Arduino,,,,,
2211,Arduino by Example,,,,,
2212,Banana Pro Blueprints,,,,,
2213,BeagleBone Media Center,,,,,
2214,BeagleBone By Example,,,,,
2215,Raspberry Pi 3 Cookbook for Python Programmers - Third Edition,,,,,
2216,Internet of Things with Raspberry Pi 3,,,,,
2217,Raspberry Pi Zero Cookbook,,,,,
2218,Raspberry Pi By Example,,,,,
2219,Python Programming with Raspberry Pi,,,,,
2220,Raspberry Pi Super Cluster,,,,,
2221,Raspberry Pi for Python Programmers Cookbook - Second Edition,,,,,
2222,Raspberry Pi Cookbook for Python Programmers,,,,,
2223,Raspberry Pi Projects for Kids - Second Edition,,,,,
2224,Getting Started with Raspberry Pi Zero,,,,,
2225,Raspberry Pi Blueprints,,,,,
2226,Raspberry Pi for Secret Agents - Second Edition,,,,,
2227,Getting Started with Python and Raspberry Pi,,,,,
2228,Internet of Things with Python,,,,,
2229,Smart Internet of Things Projects,,,,,
2230,Learning Raspbian,,,,,
2231,Using Yocto Project with BeagleBone Black,,,,,
2232,Big Data Visualization,,,,,
2233,Big Data Analytics with R,,,,,
2234,Big Data Analytics with R and Hadoop,,,,,
2235,Hands-On Exploratory Data Analysis with R,,,,,
2236,Data Analysis with R - Second Edition,,,,,
2237,Mastering R for Quantitative Finance,,,,,
2238,RStudio for R Statistical Computing Cookbook,,,,,
2239,R Data Analysis Projects,,,,,
2240,R Data Analysis Cookbook,,,,,
2241,R Data Mining,,,,,
2242,Mastering Social Media Mining with R,,,,,
2243,Hands-On Data Science with R,,,,,
2244,R for Data Science Cookbook,,,,,
2245,R Data Science Essentials,,,,,
2246,Smarter Decisions - The Intersection of Internet of Things and Decision Science,,,,,
2247,R Data Visualization Recipes,,,,,
2248,Applied Data Visualization with R and ggplot2,,,,,
2249,ggplot2 Essentials,,,,,
2250,Instant Heat Maps in R How-to,,,,,
2251,R Data Visualization Cookbook,,,,,
2252,Hands-On Dashboard Development with Shiny,,,,,
2253,Advanced Deep Learning with R,,,,,
2254,Deep Learning with R Cookbook,,,,,
2255,R Deep Learning Essentials - Second Edition,,,,,
2256,R Deep Learning Essentials,,,,,
2257,Hands-On Deep Learning with R,,,,,
2258,R Deep Learning Cookbook,,,,,
2259,R Deep Learning Projects,,,,,
2260,Apache Spark Machine Learning Blueprints,,,,,
2261,Machine Learning with R - Third Edition,,,,,
2262,Machine Learning with R Cookbook - Second Edition,,,,,
2263,Practical Machine Learning with R,,,,,
2264,Machine Learning with R Quick Start Guide,,,,,
2265,R Machine Learning By Example,,,,,
2266,Building a Recommendation System with R,,,,,
2267,Mastering Machine Learning with R,,,,,
